,UID,predict
152,11021998,0
153,11022221,0
154,11027761,2
155,115022,0
156,116007,0
157,116127,1
158,116453,0
159,116942,0
160,12000239,0
161,12000255,0
162,12000270,0
163,12000279,0
164,12000331,0
165,12000380,0
166,12000414,0
167,12000732,0
168,12001014,0
169,12001267,0
170,12001328,0
171,12001517,0
172,12002130,2
173,12002387,0
174,12004354,0
175,12005384,0
176,12005994,0
177,12006070,0
178,12006348,0
179,12006966,0
180,12007290,0
181,12008112,0
182,12008173,0
183,12008735,0
184,12009096,0
185,12009452,0
186,12009504,0
187,12009758,0
188,12011102,0
189,12011239,0
190,12011262,0
191,12011312,0
192,12011444,0
193,12011457,0
194,12011458,2
195,12011656,0
196,12011992,2
197,1201225,2
198,12012648,0
199,12012752,0
200,12013945,0
201,12014341,0
202,12015032,0
203,12015931,0
204,12015970,0
205,12016359,0
206,120166,0
207,12016673,2
208,12016791,0
209,12016856,0
210,12017085,0
211,12017368,2
212,12017996,0
213,12018080,0
214,12018270,0
215,12018445,0
216,12018600,0
217,12020034,0
218,12020341,0
219,12020348,0
220,12020988,0
221,12021802,2
222,12025479,0
223,12025944,0
224,12026031,0
225,12026112,0
226,12026323,0
227,12028932,0
228,12029043,0
229,12029165,0
230,12029353,0
231,12029409,0
232,12029984,0
233,12029993,0
234,12030902,0
235,12031625,0
236,12032858,0
237,12032865,0
238,12033720,0
239,12034166,0
240,12034478,2
241,12034488,0
242,12035061,0
243,12035437,0
244,12035449,0
245,12035464,0
246,12035475,2
247,12035959,0
248,12036714,0
249,12036758,0
250,12036770,0
251,12037392,2
252,12038970,0
253,12040288,2
254,12041043,0
255,12042506,0
256,12055700,0
257,12055793,0
258,12059409,0
259,12059781,0
260,12064887,2
261,120913,1
262,121299,0
263,124867,0
264,125188,0
265,126348,1
266,126503,2
267,126528,0
268,127378,0
269,127910,0
270,127925,0
271,127946,0
272,128006,0
273,128023,0
274,128070,1
275,128265,0
276,128266,0
277,128345,2
278,128355,1
279,128598,0
280,128673,2
281,128748,0
282,128801,2
283,129317,0
284,1301900,2
285,1301912,0
286,1302270,1
287,1302385,1
288,13100038,2
289,13100649,2
290,13100704,0
291,13101353,1
292,13101470,0
293,13101992,0
294,13102011,0
295,13102233,2
296,13102907,1
297,13103264,1
298,13103272,2
299,13103473,2
300,13103530,0
301,13103561,2
302,13103587,0
303,13103592,2
304,13104038,0
305,13104113,2
306,13104252,0
307,13104283,0
308,13104377,0
309,13104488,2
310,13104489,0
311,13106739,0
312,13106835,1
313,13107010,0
314,13107034,0
315,13107138,0
316,13107266,0
317,13107363,0
318,13107380,2
319,13108065,0
320,13108165,2
321,13109225,0
322,13109494,2
323,13109499,2
324,13110358,0
325,13110427,2
326,13110713,2
327,13111266,1
328,13111740,2
329,13112798,1
330,13112818,2
331,13112835,1
332,13112861,1
333,13112864,0
334,13112865,1
335,13113116,2
336,13113118,0
337,13113338,2
338,13114848,0
339,13114995,0
340,13115177,0
341,13115790,0
342,13115801,0
343,13115885,0
344,13116483,2
345,13116656,2
346,13116856,2
347,13116862,0
348,13117227,2
349,13117529,2
350,13118142,2
351,13118187,2
352,13128185,2
353,13128644,0
354,13128889,2
355,13129590,0
356,13129609,0
357,13129752,0
358,13129903,0
359,13132714,0
360,13132719,2
361,13132727,0
362,13132771,2
363,13132793,2
364,13133922,0
365,13134169,2
366,13134170,0
367,13134712,2
368,13136621,0
369,13136629,0
370,13137118,2
371,13137124,2
372,13137229,0
373,13137352,0
374,13147182,2
375,13148012,0
376,13148043,2
377,13151014,2
378,13151680,0
379,13153816,0
380,13153835,2
381,13156725,0
382,13157142,2
383,13157151,2
384,13158205,0
385,13158219,0
386,13158264,2
387,13158281,2
388,13161745,2
389,13161746,2
390,13162155,0
391,13162234,2
392,13162894,2
393,13162895,2
394,13162983,0
395,13164726,0
396,13165356,2
397,13165872,2
398,13165889,2
399,13165908,2
400,13166346,0
401,13167194,2
402,13169750,0
403,13170416,0
404,13171701,0
405,13173390,0
406,13173477,0
407,13173986,2
408,13173991,2
409,13174320,2
410,13174975,2
411,13175077,0
412,13175652,0
413,13176008,2
414,13177227,2
415,131809,1
416,13181737,2
417,13187405,2
418,13189144,0
419,13189249,0
420,132003,1
421,132578,0
422,132788,0
423,132893,0
424,132922,0
425,132932,1
426,133035,2
427,133287,2
428,133288,2
429,133290,0
430,133361,0
431,133388,2
432,133390,2
433,133391,2
434,133436,0
435,133493,2
436,133523,2
437,133618,2
438,133715,1
439,133828,1
440,133867,1
441,134121,0
442,135127,0
443,135706,0
444,135729,0
445,135820,0
446,137149,1
447,137292,1
448,137294,1
449,137338,1
450,137428,1
451,137470,1
452,138239,1
453,138431,1
454,139016,0
455,1394630993,0
456,1394630999,0
457,1394663204,1
458,1394663434,1
459,1394663457,1
460,1394663458,1
461,1394663829,1
462,1394663830,1
463,1394663999,1
464,1394664000,1
465,1394664001,1
466,1394664065,1
467,1394664066,1
468,1394664067,1
469,1394664293,1
470,1029720,1
471,1030065,0
472,1030798,1
473,1031020,2
474,1394664697,1
475,1394664698,1
476,1394664699,1
477,1394664708,2
478,1394664709,2
479,1394664710,2
480,1394664801,1
481,1394664802,1
482,1394664810,1
483,1394664811,1
484,1394665329,2
485,1394665339,0
486,1394665340,0
487,1394665349,2
488,1394665351,1
489,1394665359,0
490,1394665360,0
491,1394665892,0
492,1394665894,2
493,1394666990,1
494,1394666991,1
495,1394667156,1
496,1394667157,1
497,1394667701,1
498,1394667732,0
499,1394667733,2
500,1394667734,2
501,1394668290,0
502,1394668292,2
503,1394668300,0
504,1394668310,0
505,1394668321,0
506,1394668330,0
507,1394668331,0
508,1394668340,2
509,1394668342,1
510,1394668347,1
511,1394668355,0
512,1394668365,1
513,1394668375,2
514,1394668385,0
515,1394668387,1
516,1394668978,1
517,1394668979,1
518,1394669430,1
519,1394670411,1
520,1394670412,1
521,1394670413,1
522,1394670421,1
523,1394670716,0
524,1394670726,0
525,1394670736,1
526,1394670746,2
527,1394670756,0
528,1394670767,2
529,1394670776,1
530,1394670786,0
531,1394670794,2
532,1394670805,0
533,1394670815,0
534,1394670825,1
535,1394670835,2
536,1394670846,1
537,1394670863,0
538,1394670865,0
539,1394670873,2
540,1394670882,0
541,1394670883,0
542,1394670892,2
543,1394670894,1
544,1394670900,1
545,1394670912,0
546,1394670921,0
547,1394670931,1
548,1394670941,1
549,1394670951,1
550,1394670952,2
551,1394670961,0
552,1394670971,2
553,1394670972,1
554,1394670973,2
555,1394670981,0
556,1394670982,0
557,1394670991,0
558,1394671003,2
559,1394671021,0
560,1394671022,1
561,1394671031,0
562,1394671041,0
563,1394671043,0
564,1394671051,2
565,1394671061,0
566,1394671063,2
567,1394671191,1
568,1394671192,1
569,1394671193,1
570,1394671561,1
571,1394671562,1
572,1394671563,1
573,1394672714,1
574,1394672715,1
575,1394672716,1
576,1394672752,2
577,1394672762,1
578,1394672764,1
579,1394672781,2
580,1394672783,2
581,1394672807,2
582,1394672817,2
583,1394672827,2
584,1394672837,1
585,1394672847,1
586,1394672857,0
587,1394672877,1
588,1394672888,1
589,1394672889,1
590,1394672897,0
591,1394672907,0
592,1394672917,2
593,1394672927,1
594,1394672929,1
595,1394672937,2
596,1394672939,0
597,1394672947,1
598,1394672949,0
599,1394672955,2
600,1394672956,0
601,1394672957,0
602,1394672963,2
603,1394672964,0
604,1394672975,0
605,1394672976,1
606,1394672985,2
607,1394672994,2
608,1394673004,2
609,1394673005,0
610,1394673014,2
611,1394673015,0
612,1394673016,2
613,1394673025,2
614,1394673034,2
615,1394673044,0
616,1394673045,0
617,1394673054,0
618,1394673064,2
619,1394673065,2
620,1394673074,0
621,1394673075,0
622,1394673084,0
623,1394673094,0
624,1394673104,2
625,1394673106,2
626,1394673114,0
627,1394673116,2
628,1394673124,2
629,1394673125,0
630,1394673134,0
631,1394673135,0
632,1394673144,2
633,1394673154,2
634,1394673164,0
635,1394673174,2
636,1394673176,0
637,1394673184,2
638,1394673185,0
639,1394673194,0
640,1394673196,0
641,1394673204,2
642,1394673214,0
643,1394673224,0
644,1394673226,1
645,1394673234,0
646,1394673244,0
647,1394673254,1
648,1394673255,2
649,1394673274,2
650,1394673284,2
651,1394673285,0
652,1394673286,2
653,1394673294,1
654,1394673295,2
655,1394673304,1
656,1394673315,0
657,1394673324,0
658,1394673334,0
659,1394673335,2
660,1394673344,1
661,1394673354,1
662,1394673356,2
663,1394673364,1
664,1394673365,0
665,1394673374,2
666,1394673384,2
667,1394673394,2
668,1394673404,1
669,1394673405,2
670,1394673414,2
671,1394673416,2
672,1394673424,2
673,1394673426,1
674,1394673444,2
675,1394673445,1
676,1394673454,0
677,1394673464,0
678,1394673466,2
679,1394673474,0
680,1394673475,1
681,1394673484,2
682,1394673494,1
683,1394673504,0
684,1394673514,1
685,1394673534,1
686,1394673536,1
687,1394673554,2
688,1394673564,0
689,1394673565,1
690,1394673574,0
691,1394673584,0
692,1394673594,2
693,1394673596,2
694,1394673604,0
695,1394673614,1
696,1394673616,2
697,1394673624,2
698,1394673879,2
699,1394673882,1
700,1394673884,1
701,1394673885,1
702,1394673887,1
703,1394673889,1
704,1394673892,1
705,1394673901,1
706,1394673911,1
707,1394673912,1
708,1394673916,1
709,1394673922,1
710,1394673931,1
711,1394673936,1
712,139658,0
713,14000203,0
714,14000436,0
715,14000473,0
716,14000554,0
717,14000555,0
718,14000591,0
719,14000682,0
720,14000693,0
721,14000718,0
722,14000737,2
723,14000747,0
724,14000819,0
725,14001283,0
726,14001289,0
727,14001295,0
728,14001297,0
729,14001304,0
730,14001329,0
731,14001330,0
732,14001536,0
733,14001555,0
734,14001560,2
735,14001739,0
736,14002456,2
737,14002689,2
738,14002832,0
739,14002837,0
740,14002986,0
741,14003037,0
742,14003038,0
743,14003070,0
744,14003079,0
745,14003179,2
746,14003601,0
747,14003624,0
748,14003628,0
749,14003636,0
750,14003674,0
751,14003703,0
752,14003709,0
753,14003711,2
754,14003714,0
755,14003742,0
756,14003915,0
757,14003941,0
758,14003960,0
759,14004023,0
760,14004032,0
761,14004044,0
762,14004063,1
763,14004163,0
764,14004164,0
765,14004177,0
766,1400424,0
767,14004266,0
768,14004372,0
769,14004851,0
770,14005526,0
771,14005530,0
772,14006126,0
773,14006230,0
774,14006315,0
775,14006432,0
776,14006498,0
777,14006596,0
778,14006600,0
779,14006633,0
780,14006635,2
781,1400671,0
782,1400673,0
783,14007168,0
784,1400717,0
785,14007172,0
786,14007388,0
787,14007411,0
788,14007542,0
789,14007587,0
790,14007649,0
791,14007744,0
792,14007757,0
793,14007760,0
794,14007767,0
795,14007776,0
796,14007779,0
797,14007787,2
798,1400779,1
799,14007795,0
800,14007802,0
801,14007818,0
802,14007841,0
803,14007848,0
804,14008023,0
805,14008034,2
806,1400814,0
807,14008298,0
808,14008340,0
809,1400966,0
810,14009802,0
811,1400986,0
812,14009989,0
813,14010004,2
814,1401008,0
815,14010080,0
816,14010173,0
817,14010210,0
818,14010222,0
819,14010462,0
820,1401048,0
821,14010538,2
822,14010688,0
823,14010711,0
824,14010746,0
825,14010749,0
826,14010841,0
827,14010880,0
828,1401095,0
829,14011060,0
830,14011122,0
831,14011126,2
832,14011146,2
833,14011177,0
834,14011180,0
835,14011237,2
836,14011240,0
837,14011246,2
838,14011254,0
839,1401127,0
840,14011299,0
841,14011303,0
842,14011364,0
843,14011583,0
844,14014644,0
845,14014684,0
846,14014714,0
847,14014801,2
848,14018059,0
849,14018096,2
850,14018097,0
851,1401828,2
852,14019887,0
853,14020503,0
854,14020510,0
855,14020512,0
856,14020540,0
857,14020565,0
858,14020579,2
859,14020604,0
860,14020737,0
861,14020746,0
862,14020784,0
863,14020953,0
864,14020981,0
865,14021018,0
866,140211,0
867,14021109,0
868,14021140,0
869,14021204,0
870,14021207,0
871,14021229,2
872,14021231,0
873,1402126,0
874,1402134,2
875,14021511,0
876,14021544,0
877,14021546,0
878,14021654,2
879,14022072,0
880,14022155,2
881,14022269,0
882,14022334,0
883,14022538,0
884,14022657,0
885,14022832,0
886,14022841,0
887,14022880,2
888,14022882,0
889,14022940,0
890,14023000,2
891,14023009,0
892,14023038,0
893,14023144,0
894,14023212,0
895,14023213,0
896,14023226,0
897,14023227,0
898,14023255,0
899,14023274,0
900,14023296,0
901,14023301,0
902,14023322,0
903,14023374,0
904,14023445,2
905,14023764,0
906,14024316,0
907,14024543,0
908,14024551,0
909,14024694,0
910,14024900,0
911,14024920,0
912,14024921,0
913,14024922,0
914,14025034,2
915,14025036,0
916,14025041,0
917,14025043,2
918,14025167,0
919,14025191,2
920,14025192,0
921,14025195,0
922,14025199,0
923,14025216,2
924,14025219,2
925,14025365,0
926,14025565,0
927,14025566,0
928,14025570,0
929,14026058,0
930,14026099,0
931,14026147,0
932,14026160,0
933,14026239,0
934,14026241,0
935,14026319,0
936,14026321,2
937,14026324,0
938,14026364,2
939,14026368,0
940,14026482,0
941,14026977,0
942,14026979,0
943,14026981,0
944,14026987,0
945,14026989,2
946,14027037,2
947,14027090,0
948,14027091,0
949,14027215,0
950,14027303,0
951,14027372,0
952,14027381,2
953,14027383,0
954,14027524,0
955,14027525,0
956,14027528,0
957,14027535,0
958,14027634,0
959,14027655,0
960,14027710,0
961,14027934,1
962,140280,2
963,14028205,2
964,14028208,0
965,14028210,2
966,14028212,2
967,14028306,0
968,14028482,0
969,14028494,0
970,14028792,2
971,14028795,0
972,14028862,0
973,14028969,0
974,14029126,0
975,14029262,0
976,14029265,0
977,14029392,2
978,14029527,0
979,14029563,0
980,14029693,0
981,14029694,2
982,14029822,0
983,14029890,2
984,14030262,0
985,14030283,0
986,14030284,2
987,14030285,2
988,14030457,0
989,14030681,0
990,14030883,0
991,14030956,2
992,14031023,0
993,14031114,0
994,14031118,2
995,14031126,2
996,14031131,0
997,14031138,0
998,14031154,0
999,14031371,0
1000,14031398,0
1001,14031416,0
1002,14031447,0
1003,14031513,2
1004,14031543,0
1005,14031547,2
1006,14031648,0
1007,14031761,0
1008,14032169,0
1009,14032389,0
1010,14032491,0
1011,14032542,0
1012,14032794,0
1013,14032797,0
1014,14032901,0
1015,14032904,2
1016,14033087,2
1017,14033139,0
1018,14033178,0
1019,14033260,0
1020,14033263,1
1021,14033328,0
1022,14033333,0
1023,14033455,0
1024,140335,2
1025,14033582,0
1026,14033651,1
1027,14033741,0
1028,14033796,0
1029,14033798,2
1030,14033799,0
1031,14033886,2
1032,1403390,1
1033,14034062,0
1034,14034109,0
1035,14034175,2
1036,14034250,0
1037,14034253,0
1038,14034383,0
1039,14034541,0
1040,14034546,2
1041,14034652,2
1042,14034933,2
1043,14035003,2
1044,14035007,0
1045,14035010,0
1046,14035011,2
1047,14035041,2
1048,14035048,2
1049,14035148,0
1050,14035153,0
1051,14035354,2
1052,14035364,2
1053,14035366,0
1054,14035375,2
1055,14035448,0
1056,14035452,0
1057,14035688,2
1058,14035778,2
1059,14035779,0
1060,14035782,0
1061,14035966,1
1062,14035973,0
1063,14036163,2
1064,14036253,0
1065,14036259,0
1066,14036267,0
1067,14036273,0
1068,14036439,2
1069,14036545,0
1070,14036567,2
1071,14036568,2
1072,14036665,0
1073,14036720,2
1074,14036726,0
1075,14036942,2
1076,14037037,0
1077,14037052,0
1078,14037193,0
1079,14037304,0
1080,14038090,0
1081,14038091,0
1082,14039254,2
1083,14039618,0
1084,14041007,0
1085,140412,0
1086,14041291,0
1087,14041380,0
1088,14041595,2
1089,14042171,2
1090,14042272,2
1091,14042283,2
1092,14042491,0
1093,14042510,0
1094,14042942,0
1095,14043042,0
1096,14043045,0
1097,14043047,0
1098,14043050,2
1099,14043347,2
1100,14043350,0
1101,14043353,2
1102,14043358,2
1103,14043369,2
1104,14043371,2
1105,14043598,2
1106,14043599,0
1107,14043972,0
1108,14044027,0
1109,14044161,2
1110,14044169,0
1111,14044170,2
1112,14044227,0
1113,14044273,2
1114,14044361,0
1115,14044661,0
1116,14044745,0
1117,14044843,2
1118,14045045,2
1119,14045526,0
1120,14045638,0
1121,14045908,0
1122,14046052,0
1123,14046056,2
1124,14046134,2
1125,14046858,2
1126,14046873,2
1127,14046944,2
1128,14046979,0
1129,14046980,0
1130,14046986,0
1131,14046988,1
1132,14047018,2
1133,14047023,0
1134,14047041,2
1135,14047046,2
1136,14047052,2
1137,14047056,2
1138,14047107,0
1139,14047144,0
1140,14047152,2
1141,14047178,0
1142,14047182,0
1143,14047188,0
1144,14047552,0
1145,14047714,0
1146,14047715,0
1147,14047888,0
1148,14047925,2
1149,14047957,0
1150,14047958,0
1151,14047960,2
1152,14048058,2
1153,14048060,0
1154,14048330,2
1155,14048334,0
1156,14048340,2
1157,14048341,2
1158,14048603,2
1159,14048612,2
1160,14048702,0
1161,14048723,0
1162,14048916,0
1163,14048974,2
1164,14049208,0
1165,14049272,0
1166,14049309,2
1167,14049736,0
1168,14049797,2
1169,14049979,0
1170,14049997,2
1171,1405004,0
1172,14050195,0
1173,14050346,0
1174,14050452,2
1175,14050558,2
1176,14050849,0
1177,1405183,0
1178,1405487,2
1179,1405511,0
1180,1405757,2
1181,14057836,2
1182,14057899,0
1183,14057913,0
1184,14057914,2
1185,14058096,0
1186,14058099,0
1187,14058730,2
1188,1405996,0
1189,14060071,0
1190,14060163,2
1191,14060171,2
1192,14060265,0
1193,14060266,0
1194,14060335,2
1195,14060411,0
1196,1406043,2
1197,14060561,2
1198,14060635,0
1199,14060636,2
1200,14060638,2
1201,14060808,0
1202,14060946,0
1203,14060953,2
1204,14060958,2
1205,14061113,1
1206,14061377,2
1207,14061427,2
1208,14061433,0
1209,14061959,0
1210,14062861,2
1211,14062908,2
1212,14063069,2
1213,14063101,2
1214,14063240,0
1215,14063241,2
1216,14063273,0
1217,14063365,0
1218,14063385,0
1219,14063568,2
1220,14063583,0
1221,14063591,0
1222,14063607,2
1223,14064130,2
1224,14064145,2
1225,14064505,2
1226,14064538,2
1227,14064562,0
1228,14064581,2
1229,14068618,1
1230,14068639,0
1231,14068642,2
1232,14068916,0
1233,14068987,2
1234,14069189,2
1235,14069192,2
1236,14069193,0
1237,14069293,2
1238,14069371,2
1239,14069408,2
1240,14069836,0
1241,14069997,0
1242,14069998,2
1243,14070128,0
1244,14070253,2
1245,14070529,0
1246,14070549,2
1247,14070645,0
1248,14070719,0
1249,14071034,0
1250,14071144,0
1251,14071254,0
1252,14071293,2
1253,14071586,2
1254,14072139,2
1255,14072216,0
1256,14072217,0
1257,14072251,2
1258,14072266,2
1259,14072267,0
1260,14072268,2
1261,14072523,2
1262,14072551,0
1263,14072646,0
1264,14072941,0
1265,14073448,2
1266,14073808,2
1267,14074051,0
1268,14074052,0
1269,14074071,2
1270,14074340,2
1271,14074523,0
1272,14074936,2
1273,14074948,0
1274,14075233,0
1275,14075259,0
1276,14075938,0
1277,14075956,2
1278,14075961,0
1279,14076298,0
1280,14076470,0
1281,14076472,2
1282,14076486,2
1283,14076580,0
1284,14076643,2
1285,14077013,0
1286,14077017,0
1287,14077048,0
1288,14077422,0
1289,14077423,2
1290,14077789,2
1291,14078037,0
1292,14078038,0
1293,14078049,0
1294,14078373,2
1295,14078374,0
1296,14078377,0
1297,14078685,0
1298,14078692,2
1299,14079844,2
1300,14079849,0
1301,14079965,0
1302,14079967,0
1303,14079972,0
1304,14079978,2
1305,14079987,0
1306,14079990,0
1307,14080166,0
1308,14080598,0
1309,14080608,2
1310,14080623,2
1311,14080632,0
1312,14082402,0
1313,14082411,2
1314,14082414,0
1315,14082791,2
1316,14083027,0
1317,14083028,2
1318,14083029,2
1319,14083030,2
1320,14083087,0
1321,14083096,2
1322,14083097,2
1323,14083120,2
1324,14083121,0
1325,14083136,2
1326,14083547,2
1327,14083562,2
1328,14083716,0
1329,14083720,0
1330,14083981,2
1331,14084376,2
1332,14084386,0
1333,14084454,0
1334,1408487,0
1335,14084974,0
1336,14084975,0
1337,1408507,0
1338,14085392,2
1339,14085812,2
1340,14085818,0
1341,1408602,0
1342,14086219,2
1343,14086407,2
1344,14086961,0
1345,14087074,0
1346,14087075,2
1347,14087076,1
1348,1408716,2
1349,14087672,2
1350,14087823,0
1351,1408856,0
1352,14088578,0
1353,1408944,0
1354,1408946,2
1355,1408963,2
1356,14089672,0
1357,14089718,2
1358,14089731,0
1359,14089760,2
1360,14089882,0
1361,14090100,2
1362,14090136,2
1363,14090682,2
1364,14090867,0
1365,14090877,0
1366,14091129,0
1367,14091274,0
1368,14091440,2
1369,14091540,2
1370,14091576,0
1371,1409213,2
1372,14092290,0
1373,14092425,0
1374,14092553,0
1375,14093767,0
1376,14093793,2
1377,1409393,2
1378,1409396,2
1379,14094715,2
1380,14095580,0
1381,14095640,0
1382,14095644,2
1383,14096400,2
1384,14096533,2
1385,14096909,0
1386,1409791,2
1387,1409870,0
1388,14101650,0
1389,14106670,2
1390,14106688,2
1391,14106697,0
1392,14106700,2
1393,14107684,0
1394,14107690,2
1395,14107931,2
1396,14107936,2
1397,14107937,2
1398,14108173,2
1399,14108174,2
1400,14108182,2
1401,14108788,0
1402,14108904,2
1403,14108919,2
1404,14109356,2
1405,14110159,2
1406,14110261,0
1407,14110287,0
1408,14110637,0
1409,14110638,2
1410,14110639,2
1411,14110650,0
1412,14110659,2
1413,14110660,0
1414,14110662,2
1415,14110664,0
1416,14110829,0
1417,14110831,0
1418,14110837,2
1419,14111097,0
1420,14111100,0
1421,14111101,2
1422,14111102,0
1423,14111103,2
1424,14111478,2
1425,14111479,0
1426,14111489,2
1427,14111808,0
1428,14111821,0
1429,14111822,2
1430,14111823,0
1431,14112086,2
1432,141131,1
1433,14114312,2
1434,14114486,0
1435,14115029,0
1436,14115785,0
1437,141161,2
1438,14116440,0
1439,14116441,0
1440,14116518,2
1441,14117565,2
1442,14117873,2
1443,14117876,2
1444,14118124,0
1445,14118201,2
1446,14118234,2
1447,1411827,0
1448,14118327,0
1449,14118360,2
1450,14118364,2
1451,14118430,0
1452,14118491,2
1453,14118492,2
1454,14118848,2
1455,14118849,0
1456,14118854,2
1457,14118858,2
1458,14118988,2
1459,14119083,0
1460,14119085,2
1461,14119192,2
1462,14119269,2
1463,14119275,2
1464,14119472,0
1465,14119645,2
1466,14119936,0
1467,14120029,0
1468,14120034,2
1469,14120197,2
1470,14120207,2
1471,14122024,0
1472,14122027,0
1473,14122081,2
1474,14122270,0
1475,14122357,2
1476,14123017,0
1477,14123023,2
1478,14123565,2
1479,14123778,0
1480,14123788,0
1481,14124213,0
1482,14124406,0
1483,14124439,0
1484,14124440,2
1485,14124628,0
1486,14124780,2
1487,14125029,2
1488,14125181,0
1489,1412548,0
1490,14125528,0
1491,14125700,2
1492,1412576,2
1493,14125779,2
1494,14125783,2
1495,14125848,2
1496,14125888,0
1497,14125995,2
1498,1412706,2
1499,14127145,2
1500,14127148,0
1501,14127255,2
1502,1412726,2
1503,1412745,0
1504,14127630,2
1505,14127765,0
1506,14127834,0
1507,14127965,2
1508,14128039,0
1509,14128045,2
1510,14128049,2
1511,14128623,0
1512,14128847,2
1513,14128848,2
1514,14128849,2
1515,14129012,0
1516,14129081,2
1517,14129083,2
1518,14129330,2
1519,14129331,2
1520,14129500,0
1521,14129501,2
1522,14129507,2
1523,14129645,0
1524,14129852,0
1525,14129967,2
1526,14129969,2
1527,14129970,2
1528,14130031,0
1529,14130143,2
1530,14130157,2
1531,14130186,2
1532,14130190,2
1533,14130255,0
1534,1413048,0
1535,141306,1
1536,14130713,0
1537,14130715,2
1538,14131180,2
1539,14131345,0
1540,14131375,0
1541,14131411,0
1542,14131412,2
1543,14131586,2
1544,14131705,0
1545,14131707,2
1546,14131736,2
1547,14131822,0
1548,14131913,2
1549,14131993,2
1550,14133519,0
1551,14133612,0
1552,14133616,2
1553,14133664,2
1554,14133665,0
1555,14133717,2
1556,14133800,0
1557,14133819,0
1558,14133907,2
1559,14133984,0
1560,14134021,0
1561,14134065,0
1562,14134113,2
1563,14134249,2
1564,14134361,0
1565,14134362,0
1566,14134489,2
1567,14134691,0
1568,14134829,2
1569,14135116,0
1570,14135252,0
1571,14135256,0
1572,14135460,0
1573,14135620,2
1574,14135952,2
1575,14135955,2
1576,14136120,0
1577,14136589,2
1578,14136832,2
1579,14137032,2
1580,14137033,2
1581,14137035,0
1582,14137194,2
1583,14137198,2
1584,14137413,0
1585,14137423,2
1586,14137682,2
1587,14137812,2
1588,14137864,0
1589,14137865,0
1590,14137867,2
1591,14138053,0
1592,14138055,0
1593,14138202,2
1594,14138327,0
1595,14138399,0
1596,14138841,2
1597,14138845,2
1598,14138850,0
1599,14138851,2
1600,14138977,2
1601,14138978,2
1602,14138986,2
1603,14139143,2
1604,14139153,0
1605,14139632,0
1606,14139635,2
1607,14139775,0
1608,14139776,2
1609,14139938,2
1610,14140146,0
1611,14140158,2
1612,14140160,2
1613,14140347,0
1614,14140397,0
1615,14140529,0
1616,14140530,0
1617,14140532,0
1618,14140533,2
1619,14140595,2
1620,14140600,2
1621,14140601,2
1622,14140963,2
1623,14140968,2
1624,14141315,0
1625,14141316,2
1626,14141318,2
1627,14141492,0
1628,14141494,0
1629,14141698,0
1630,14141700,0
1631,14141968,0
1632,1414262,0
1633,1414335,0
1634,1414381,2
1635,1414504,0
1636,1414534,0
1637,14145342,0
1638,14145489,2
1639,14145676,0
1640,14145729,2
1641,14145730,2
1642,14145803,2
1643,14145804,2
1644,14145896,2
1645,14146008,2
