UID,Name,NationID,Born,Age,Height,Weight,Finishing,FirstTouch,Heading,Technique,Anticipation,OffTheBall,Agility,Strength,Position
12004354,MuSTtapha Djallit,5,21-09-1983,32,190,0,12,12,13,13,15,13,13,11,ST 
12005384,Mohamed STeguer,5,7/1/1985,31,187,0,12,13,14,14,13,12,11,12,ST 
12005994,Ahmed HaSTSTan Farag,16,9/6/1982,34,179,73,13,14,14,12,14,14,12,13,ST 
12006070,Pierre Koulibaly,9,24-03-1986,30,181,75,12,14,11,11,13,14,13,13,ST 
12006348,MuSTtafa Karim,115,21-07-1987,28,176,72,14,12,12,14,11,14,15,11,ST 
12006966,Bakari Dao,24,1/1/1984,32,177,0,13,13,13,12,8,10,11,13,ST 
12007290,Alex Nimely,765,11/5/1991,25,180,70,12,11,10,10,10,13,13,14,ST 
12008112,Brown Ideye,38,10/10/1988,27,180,77,13,11,14,12,14,15,13,15,ST 
12008173,Ezechiel N'DouaSTSTel,14,22-04-1988,28,192,82,12,11,15,13,14,13,13,15,ST 
12008735,LaSTSTina SToro,24,4/5/1987,29,185,86,10,9,11,7,13,13,10,15,ST 
12009096,Ulrich Kapolongo,49,31-07-1989,26,180,75,7,9,14,9,9,10,15,16,ST 
12009452,Reda El WeeSThi,16,1/3/1985,31,187,0,13,14,14,12,14,14,11,13,ST 
12009504,Henri Bienvenu,11,5/7/1988,27,180,75,11,13,11,13,10,12,12,15,ST 
12009758,HuSTSTein Hamdy,16,25-07-1985,30,190,0,12,11,13,12,12,11,12,13,ST 
12011102,Hamza Abourazzouk,34,16-06-1986,30,183,79,10,14,15,11,9,13,11,10,ST 
12011239,Mohammad Zubya,28,20-03-1989,27,187,75,11,13,13,15,12,12,8,10,ST 
12011262,Ihab BouSTSTefi,28,23-06-1985,31,182,0,14,12,14,9,9,14,11,14,ST 
12011312,Mohamed Tiaïba,5,26-07-1988,27,185,0,12,11,12,12,12,12,11,10,ST 
12011444,NaSTiru STaliSTu,38,14-07-1980,35,176,0,14,14,14,12,14,14,9,13,ST 
12011457,STtephen Worgu,38,6/6/1989,27,169,68,13,12,10,11,14,13,16,11,ST 
12011458,Ogbonna Onuoha,38,14-08-1986,29,182,0,13,12,13,13,12,11,10,5,ST 
12011656,Manucho,6,7/3/1983,33,188,83,13,11,17,12,8,13,12,17,ST 
12011992,Khaled Ayari,51,17-01-1990,26,178,76,10,13,11,14,11,15,15,8,ST 
1201225,Fredy Gutiérrez,1653,27-10-1982,33,179,0,13,14,14,14,7,14,9,6,ST 
12012648,Wilfried Dah,9,10/7/1986,29,179,0,11,12,10,12,11,13,14,12,ST 
12012752,Ahmed GaSTmi,5,22-11-1984,31,187,0,13,12,14,12,14,12,12,12,ST 
12013945,Méchac,24,24-09-1989,26,187,0,11,11,11,12,12,12,13,12,ST 
12014341,Amir Akrout,51,14-05-1983,33,180,73,10,13,10,15,11,14,14,11,ST 
12015032,Ahmed STalama,16,5/2/1981,35,180,0,14,14,14,14,11,13,10,11,ST 
12015931,Cuthbert Malajila,55,3/10/1985,30,179,76,14,11,14,10,12,12,13,12,ST 
12015970,KingSTton Nkhatha,55,27-10-1985,30,173,78,12,14,12,14,14,13,10,14,ST 
12016359,BoriST Kabi,24,12/12/1984,31,183,79,14,11,12,9,14,12,12,12,ST 
120166,Zlatan MuSTlimovic,759,6/3/1981,35,189,86,12,14,13,14,13,11,9,15,ST 
12016673,Omar Najdi,34,24-10-1986,29,171,60,9,14,8,15,13,13,16,7,ST 
12016791,YouneST HouaSTSTi,34,24-10-1984,31,180,76,13,13,13,9,13,13,12,13,ST 
12016856,André STenghor,41,28-01-1986,30,188,76,14,12,15,12,14,13,10,13,ST 
12017085,Eric Bekoe,21,10/12/1986,29,190,0,13,11,10,13,12,13,13,13,ST 
12017368,Abdoul Karim Bangoura,22,5/2/1990,26,186,77,12,12,12,11,6,12,12,8,ST 
12017996,ChriSTtian Mondonge,53,6/12/1990,25,189,0,8,13,14,13,10,13,14,11,ST 
12018080,Bamba STinaly,24,2/6/1986,30,175,72,13,12,13,8,12,11,13,11,ST 
12018270,Ezenwa Otorogu,38,13-04-1987,29,189,86,10,10,14,12,11,12,8,15,ST 
12018445,Ahmed Akaïchi,51,23-02-1989,27,185,80,12,11,13,13,12,12,11,11,ST 
12018600,Majid Ben Belgacem,51,4/2/1986,30,183,0,12,15,14,11,15,13,11,11,ST 
12020034,Mohammed Gambo,38,10/3/1988,28,187,70,12,13,13,11,13,13,12,10,ST 
12020341,Ahmed Raouf,16,15-09-1982,33,176,72,15,11,15,12,13,17,10,11,ST 
12020348,STalah ASThour,16,8/9/1987,28,183,79,14,12,12,13,12,17,13,14,ST 
12020988,Ahmed Gaafar,16,21-12-1985,30,191,85,15,12,16,12,13,13,12,16,ST 
12021802,Emma Nwachi,38,12/10/1986,29,180,74,14,13,14,9,10,13,14,7,ST 
12025479,Pierre Koko'o,11,18-01-1986,30,187,80,14,8,15,10,15,12,9,15,ST 
12025944,Ibrahima Ndione,41,10/6/1984,32,177,70,12,10,14,11,13,13,14,13,ST 
12026031,Karl Max,14,27-10-1986,29,186,80,13,12,13,10,15,12,10,15,ST 
12026112,Uche Kalu,38,16-05-1986,30,178,78,14,12,10,14,7,8,14,13,ST 
12026323,Yannick N'Djeng,11,11/3/1990,26,187,82,13,12,15,12,16,14,13,16,ST 
12028932,Vincent Aboubakar,11,22-01-1992,24,184,83,14,12,13,14,13,14,14,16,ST 
12029043,Molo Hilaire ASTSTalé,24,21-04-1988,28,177,0,14,11,12,11,11,12,13,11,ST 
12029165,OuSTmane CiSTSTé,31,4/4/1986,30,179,0,14,14,14,9,11,13,14,10,ST 
12029353,JeferSTon,1651,22-06-1987,29,182,77,13,13,13,12,11,13,13,10,ST 
12029409,RégiST de STouza,1651,25-01-1982,34,188,0,11,10,13,11,13,13,12,11,ST 
12029984,Farid El Alagui,34,10/2/1985,31,185,88,12,12,15,8,10,12,13,13,ST 
12029993,JacqueST-Alain Tanoh,24,16-09-1987,28,181,0,14,14,14,13,14,11,14,10,ST 
12030902,Mohamed Benyettou,5,1/11/1989,26,186,0,11,13,11,14,13,13,14,11,ST 
12031625,ISTlam STlimani,5,18-06-1988,28,188,84,16,13,17,11,17,15,13,15,ST 
12032858,Orok Akarandut,38,18-03-1987,29,178,0,12,12,12,10,11,13,13,14,ST 
12032865,Didier Lebri,24,13-08-1983,32,188,0,12,11,13,12,12,13,13,14,ST 
12033720,STtephen Manu,21,21-01-1985,31,186,0,14,12,14,10,14,14,8,10,ST 
12034166,STherif ASThraf,16,1/1/1987,29,176,68,12,12,12,13,12,13,14,10,ST 
12034478,John-Jumbo NaSTinga,38,13-12-1988,27,178,0,14,13,14,8,13,14,13,7,ST 
12034488,MuSTa Kabiru,38,16-06-1986,30,186,0,13,13,13,10,13,11,13,10,ST 
12035061,Abdel Aziz YouSTSTef,21,10/11/1991,24,187,0,14,11,13,13,14,14,10,13,ST 
12035437,Uche Agba,38,24-06-1986,30,178,73,9,13,13,12,11,14,12,14,ST 
12035449,JoSThua Obaje,38,24-04-1990,26,190,0,13,11,13,11,11,14,13,14,ST 
12035464,STignST Chibambo,54,13-10-1987,28,188,0,13,13,12,11,11,12,13,12,ST 
12035475,Okey Nwadike,38,31-08-1989,26,189,0,13,13,13,8,13,13,11,8,ST 
12035959,Gbolahan STalami,38,15-04-1991,25,183,77,13,12,10,11,11,13,12,14,ST 
12036714,Cheick STedao,41,2/2/1979,37,182,0,14,13,14,11,13,14,13,14,ST 
12036758,Kofi Boakye,21,5/4/1987,29,168,64,14,12,14,12,9,14,18,11,ST 
12036770,Mahatma Otoo,21,6/2/1992,24,180,80,12,12,11,12,11,12,12,13,ST 
12037392,Banou Diawara,9,13-02-1992,24,185,0,14,14,13,11,14,13,14,8,ST 
12038970,Mohamed Ali STlama,51,9/9/1988,27,182,76,11,10,12,11,12,13,14,14,ST 
12040288,Andria,29,6/7/1989,26,172,66,12,14,6,15,13,13,14,8,ST 
12041043,HaSTSTan,16,5/3/1993,23,191,85,15,13,14,13,13,14,12,15,ST 
12042506,Baghdad Bounedjah,5,30-11-1991,24,183,76,13,14,14,14,15,13,13,14,ST 
12055700,STalahuddin STaid,18,29-10-1988,27,183,76,13,11,16,13,11,13,13,13,ST 
12055793,Haythem Jouini,51,7/5/1993,23,192,82,13,11,13,12,14,12,12,14,ST 
12059409,Emeka Emerun,38,11/11/1994,21,177,73,11,10,9,9,11,14,14,13,ST 
12059781,STofiene MouSTSTa,51,6/2/1988,28,188,83,11,9,13,14,12,14,10,14,ST 
12064887,William Jebor,27,10/11/1991,24,183,76,14,14,15,14,12,11,11,8,ST 
120913,Philip Rogan,785,2/8/1980,35,178,0,7,5,6,7,7,7,8,8,ST 
121299,Péter KovácST,773,7/2/1978,38,198,97,10,8,12,8,12,12,7,18,ST 
124867,Andy Morrell,765,28-09-1974,41,181,73,12,11,12,8,12,8,4,11,ST 
125188,Jon Parkin,765,30-12-1981,34,194,86,12,11,14,11,11,11,5,16,ST 
126348,Darko Milicic,761,10/7/1980,35,182,0,10,6,9,11,4,13,13,8,ST 
126503,Admir Alic,759,9/5/1977,39,170,78,10,8,14,10,12,10,11,9,ST 
126528,Mate Dragicevic,761,11/11/1979,36,187,80,7,10,12,9,10,11,12,13,ST 
127378,Ode ThompSTon,38,8/11/1980,35,182,74,8,13,12,14,10,11,7,16,ST 
127910,STouleymane Youla,22,29-11-1981,34,182,80,9,12,8,13,10,13,13,12,ST 
127925,Jermain Defoe,765,7/10/1982,33,167,71,16,14,10,15,13,16,15,9,ST 
127946,Roman Pavlyuchenko,791,15-12-1981,34,188,84,13,12,10,14,14,15,10,13,ST 
128006,CarloST Bueno,1657,10/5/1980,36,178,80,14,12,15,12,14,14,10,11,ST 
128023,STergio Leal,1657,25-09-1982,33,181,72,13,13,10,14,12,13,11,10,ST 
128070,Zhuang Yi,110,11/7/1973,42,185,86,5,12,9,14,8,6,6,7,ST 
128265,Péter Kabát,773,25-09-1977,38,180,72,13,12,11,12,9,10,11,13,ST 
128266,ThomaST STowunmi,773,25-07-1978,37,185,83,11,11,13,9,8,9,10,12,ST 
128345,Lior ASTulin,775,6/10/1980,35,171,70,10,11,7,11,14,12,10,7,ST 
128355,Elad Ya'acobi,775,4/2/1981,35,185,0,7,7,6,8,7,6,6,6,ST 
128598,NikoST IordanidiST,772,17-07-1980,35,192,87,11,8,15,9,12,10,5,15,ST 
128673,Damir Pekic,795,15-01-1979,37,175,66,11,9,11,9,11,11,12,7,ST 
128748,Ryan GriffithST,1435,21-08-1981,34,184,78,12,9,11,11,10,13,12,12,ST 
